date,clones,uniques
2026-09-02,26,11
2026-09-01,28,9
2026-08-31,14,11
2026-08-30,9,5
2026-08-29,12,9
2026-08-28,6,5
2026-08-27,8,6
2026-08-26,7,6
2026-08-25,18,11
2026-08-24,6,5
2026-08-23,6,5
2026-08-22,8,5
2026-08-21,17,8
2026-08-20,25,10
2026-08-19,10,7
2026-08-18,30,16
2026-08-17,40,16
2026-08-16,3,2
2026-08-15,15,9
2026-08-14,17,13
2026-08-13,79,38
2026-08-12,38,20
2026-08-11,30,16
2026-08-10,19,12
2026-08-09,5,4
2026-08-08,6,3
2026-08-07,84,49
2026-08-06,8,5
2026-08-05,7,6
2026-08-04,12,3
2026-08-03,26,10
2026-08-02,7,5
2026-08-01,22,10
2026-07-31,10,5
2026-07-30,10,4
2026-07-29,17,13
2026-07-28,6,5
2026-07-27,125,46
2026-07-26,15,7
2026-07-25,9,8
2026-07-24,37,21
2026-07-23,4,3
2026-07-22,3,2
2026-07-21,13,8
2026-07-20,9,4
2026-07-19,19,8
2026-07-18,27,14
2026-07-17,40,18
2026-07-16,16,8
2026-07-15,9,5
2026-07-14,28,14
2026-07-13,6,4
2026-07-12,4,3
2026-07-11,4,3
2026-07-10,27,13
2026-07-09,8,4
2026-07-08,34,15
2026-07-07,78,31
2026-07-06,7,2
2026-07-05,19,8
2026-07-04,7,6
2026-07-03,18,9
2026-07-02,58,28
2026-07-01,5,4
2026-06-30,9,5
2026-06-29,93,38
2026-06-28,15,12
2026-06-27,12,7
2026-06-26,98,43
2026-06-25,127,50
2026-06-24,58,21
2026-06-23,859,59
2026-06-22,211,27
2026-06-21,23,8
2026-06-20,60,17
2026-06-19,52,12
2026-06-18,11,4
2026-06-17,19,9
2026-06-16,17,7
2026-06-15,34,22
2026-06-14,26,11
2026-06-13,22,11
2026-06-12,27,13
2026-06-11,9,5
2026-06-10,3,3
2026-06-09,30,12
2026-06-08,11,7
2026-06-07,8,5
2026-06-06,9,6
2026-06-05,15,8
2026-06-04,7,6
2026-06-03,31,14
2026-06-02,12,8
2026-06-01,94,37
2026-05-31,26,12
2026-05-30,20,10
2026-05-29,31,14
2026-05-28,22,14
2026-05-27,65,34
2026-05-26,43,17
2026-05-25,52,23
2026-05-24,12,6
2026-05-23,16,10
2026-05-22,19,8
2026-05-21,51,23
2026-05-20,84,39
2026-05-19,28,11
2026-05-18,9,8
2026-05-17,18,12
2026-05-16,24,14
2026-05-15,118,56
2026-05-14,18,8
2026-05-13,29,9
2026-05-12,61,24
2026-05-11,22,16
2026-05-10,14,10
2026-05-09,11,7
2026-05-08,37,17
2026-05-07,42,21
2026-05-06,9,5
2026-05-05,15,9
2026-05-04,18,9
2026-05-03,12,8
2026-05-02,50,19
2026-05-01,42,15
2026-04-30,26,9
2026-04-29,118,25
2026-04-28,42,15
2026-04-27,8,4
2026-04-26,69,22
2026-04-25,189,92
2026-04-24,352,131
2026-04-23,83,26
2026-04-22,285,82
2026-04-21,43,18
2026-04-20,67,22
2026-04-19,69,33
2026-04-18,66,34
2026-04-17,360,152
2026-04-16,91,35
2026-04-15,346,121
2026-04-14,17,10
2026-04-13,1,1
2026-04-12,5,5
2026-04-11,52,28
2026-04-10,92,43
2026-04-09,95,43
2026-04-08,25,18
2026-04-07,20,9
2026-04-06,1,1
2026-04-05,22,15
2026-04-04,3,3
2026-04-03,45,27
